Frame #,RMSD,rGyr,intraHB,MolSA,SASA,PSA,Contact_Frequency
0,0.0,4.893,0,357.516,342.348,281.08,7
1,2.058,5.578,0,357.12,322.771,294.223,7
2,2.148,5.616,0,355.868,376.301,287.444,4
3,2.117,5.547,0,359.001,288.804,292.631,5
4,2.012,5.517,0,359.331,296.173,292.804,6
5,2.008,5.608,0,358.202,315.817,291.52,7
6,2.16,5.541,0,356.692,342.735,290.16,5
7,1.978,5.601,0,357.218,298.095,291.58,9
8,1.973,5.651,0,360.417,327.615,289.18,7
9,2.066,5.59,0,356.519,329.792,289.334,7
10,2.157,5.603,0,355.408,290.39,285.67,7
11,2.07,5.568,0,359.209,339.229,293.564,6
12,2.33,5.582,0,359.897,341.187,293.713,8
13,2.282,5.651,0,356.998,319.921,288.447,4
14,1.998,5.62,0,355.952,332.569,287.803,10
15,2.244,5.599,0,356.685,320.665,286.309,5
16,2.154,5.636,0,357.991,335.532,288.102,8
17,2.087,5.594,0,356.837,342.986,287.985,8
18,2.283,5.508,0,355.598,341.857,287.736,9
19,2.187,5.599,0,358.898,353.11,291.273,6
20,2.152,5.619,0,357.983,388.131,289.78,10
21,2.103,5.625,0,359.588,344.118,288.419,7
22,2.168,5.626,0,358.89,345.7,293.697,5
23,2.211,5.517,0,357.122,467.08,290.08,5
24,2.337,5.283,0,356.94,466.534,290.365,5
25,1.571,5.045,0,358.66,458.468,284.291,5
26,2.235,5.217,0,361.075,446.362,294.889,5
27,2.05,5.283,0,357.336,433.887,292.125,7
28,2.122,5.205,0,358.224,335.22,291.404,6
29,2.416,5.52,0,360.717,330.45,295.975,5
30,2.654,5.625,0,358.647,319.462,289.293,9
31,3.002,5.508,0,359.392,353.577,291.158,5
32,2.258,5.54,0,359.237,349.511,292.372,5
33,2.908,5.224,0,358.083,378.889,290.507,3
34,2.538,5.333,0,355.226,375.101,284.166,4
35,2.518,5.237,0,358.776,392.742,290.06,2
36,2.247,5.337,0,356.848,348.955,288.701,3
37,2.302,5.234,0,356.971,319.309,290.033,2
38,2.469,5.355,0,355.887,329.118,289.753,5
39,2.263,5.238,0,358.541,321.245,289.463,3
40,2.435,5.406,0,355.693,291.46,288.066,5
41,2.269,5.257,0,357.718,327.413,288.618,2
42,2.343,5.396,0,359.253,310.989,287.453,2
43,2.455,5.244,0,356.545,339.14,291.481,2
44,2.546,5.343,0,358.96,367.457,290.773,2
45,2.32,5.312,0,356.17,340.174,286.969,1
46,2.483,5.414,0,358.335,301.966,288.516,3
47,2.394,5.261,0,358.973,331.805,291.308,4
48,2.317,5.407,0,356.151,426.887,285.065,3
49,0.721,5.046,0,358.513,445.604,292.319,2
50,2.248,5.255,0,354.603,423.173,285.044,2
51,1.536,4.923,0,359.443,379.794,293.836,3
52,2.431,5.681,0,356.384,468.111,287.894,0
53,2.434,5.444,0,359.396,470.805,294.227,3
54,2.135,5.252,0,360.662,437.332,292.212,1
55,1.223,4.951,0,358.233,402.233,280.635,1
56,1.269,5.293,0,360.458,411.029,292.277,1
57,2.293,5.689,0,358.16,388.445,288.346,4
58,2.149,5.594,0,359.146,361.771,294.824,5
59,2.164,5.611,0,358.405,338.026,293.338,1
60,2.242,5.601,0,357.874,341.295,290.229,3
61,1.948,5.603,0,359.734,373.306,293.248,3
62,1.987,5.661,0,358.19,395.013,287.325,1
63,2.171,5.59,0,360.042,387.376,291.673,2
64,1.949,5.526,0,358.466,421.281,291.483,1
65,2.198,5.611,0,358.242,376.285,291.44,3
66,2.113,5.65,0,357.294,409.829,287.295,4
67,2.016,5.552,0,359.642,423.862,294.881,1
68,2.191,5.621,0,360.489,410.758,291.938,2
69,2.653,5.53,0,358.199,412.003,295.499,2
70,2.624,5.682,0,359.467,390.036,288.288,2
71,2.442,5.632,0,357.316,415.139,287.05,0
72,2.432,5.514,0,356.614,379.713,288.5,5
73,2.282,5.512,0,359.255,357.929,294.131,5
74,2.172,5.429,0,354.517,389.198,288.977,1
75,2.203,5.552,0,358.424,357.285,294.918,3
76,2.015,5.65,0,360.226,390.649,288.562,1
77,2.302,5.638,0,358.053,357.853,289.604,2
78,2.298,5.37,0,358.101,421.569,287.607,1
79,1.303,5.022,0,358.971,362.657,292.65,6
80,1.763,4.986,0,359.735,362.576,284.625,3
81,1.223,5.128,0,359.301,364.958,287.585,5
82,1.824,5.118,0,361.409,330.02,292.413,6
83,1.857,5.05,0,359.063,354.437,291.839,6
84,1.402,4.947,0,357.016,362.545,289.948,4
85,1.786,5.035,0,359.517,364.523,289.638,4
86,1.17,5.098,0,359.339,350.165,288.673,4
87,1.577,4.845,0,356.987,319.734,289.291,3
88,1.323,4.905,0,354.98,328.846,280.326,7
89,1.403,5.141,0,357.396,327.408,285.919,10
90,1.223,5.051,0,357.014,301.326,288.081,5
91,1.351,5.082,0,359.906,311.809,289.701,5
92,1.21,4.973,0,357.001,377.538,289.157,3
93,1.333,4.898,0,357.156,309.542,286.0,5
94,1.616,5.189,0,360.603,391.19,293.21,7
95,1.44,5.023,0,357.337,326.292,287.603,8
96,1.332,5.03,0,354.218,321.337,287.716,8
97,1.397,4.963,0,359.055,332.476,290.235,6
98,1.507,4.998,0,356.933,376.436,287.855,3
99,1.039,4.963,0,357.633,320.145,284.777,8
100,1.396,4.965,0,359.285,352.929,293.189,3
101,1.529,5.195,0,359.807,334.255,292.466,5
102,1.853,5.21,0,356.527,304.007,287.103,6
103,1.863,5.123,0,356.584,297.125,287.196,9
104,1.382,4.94,0,356.303,366.553,287.869,2
105,1.787,5.207,0,357.046,333.293,289.275,3
106,1.541,5.196,0,354.82,295.144,286.576,10
107,1.554,5.042,0,361.314,329.782,292.099,4
108,1.244,5.003,0,358.054,302.489,288.13,3
109,1.239,4.904,0,356.946,326.685,281.183,3
110,1.886,5.238,0,357.229,342.433,289.76,2
111,1.929,5.075,0,354.724,254.343,288.306,7
112,1.935,5.406,0,359.823,244.669,287.889,4
113,2.107,5.292,0,359.905,224.783,289.148,4
114,1.939,5.34,0,356.245,308.673,286.12,3
115,1.343,5.225,0,355.496,236.548,283.429,4
116,1.681,5.353,0,357.856,253.869,285.464,4
117,1.643,5.266,0,354.6,210.977,286.285,5
118,1.682,5.311,0,355.094,296.535,283.134,5
119,1.645,5.297,0,357.689,292.378,287.098,6
120,1.512,5.231,0,356.334,280.871,289.244,5
121,2.907,5.604,0,359.074,256.358,289.287,3
