Frame #,RMSD,rGyr,intraHB,MolSA,SASA,PSA,Contact_Frequency
121,0.751,5.291,0,372.672,463.116,322.262,3
122,1.069,5.027,0,372.748,471.098,318.357,5
123,1.885,5.305,0,366.893,453.019,312.992,4
124,2.11,5.397,0,372.075,444.923,314.484,3
125,1.959,5.227,0,371.782,404.381,317.297,6
126,1.366,5.169,0,371.524,472.141,320.127,5
127,2.305,5.108,0,374.179,469.835,321.091,3
128,1.938,5.341,0,374.639,418.442,320.566,4
129,1.897,5.327,0,373.11,445.963,316.111,4
130,1.81,5.363,0,375.405,460.89,318.788,3
131,1.829,5.259,0,370.434,444.174,312.025,7
132,2.19,5.227,0,370.541,424.812,315.185,3
133,2.023,5.361,0,372.986,483.859,316.049,2
134,2.014,5.144,0,372.833,461.173,314.683,1
135,1.889,5.447,0,375.133,440.263,324.464,6
136,1.864,5.308,0,370.427,426.554,319.22,3
137,2.019,5.079,0,368.285,424.317,315.379,1
138,1.809,5.363,0,372.005,417.884,315.616,2
139,1.773,5.399,0,370.228,428.475,311.719,4
140,2.012,5.191,0,371.897,429.947,318.206,2
141,1.888,5.242,0,370.408,416.059,313.912,3
142,1.103,5.346,0,373.566,409.017,315.581,3
143,0.966,5.284,0,369.955,394.79,317.263,4
144,1.2,5.187,0,372.514,430.23,313.02,5
145,0.818,5.233,0,369.779,388.796,319.913,5
146,0.862,5.293,0,372.375,446.593,317.176,2
147,0.94,5.07,0,366.182,443.417,314.982,2
148,0.813,5.286,0,372.648,392.517,319.258,3
149,0.83,5.271,0,371.887,451.056,314.418,3
150,0.841,5.434,0,372.013,409.769,315.533,3
151,0.729,5.247,0,369.351,429.621,316.636,2
152,0.619,5.52,0,370.17,428.568,314.363,2
153,0.919,5.084,0,368.655,441.063,316.854,4
154,0.832,5.255,0,371.893,455.48,317.492,2
155,1.018,5.28,0,373.243,428.296,316.0,3
156,1.088,5.329,0,371.012,445.131,314.404,2
157,1.023,5.147,0,369.406,459.002,315.914,3
158,1.096,5.306,0,371.063,432.023,317.019,2
159,0.938,5.136,0,370.205,432.202,316.032,4
160,1.285,5.138,0,373.283,430.078,318.568,3
161,1.548,5.066,0,368.894,425.403,314.392,4
162,0.962,5.02,0,367.903,426.366,318.585,3
163,0.935,5.183,0,367.979,439.52,317.622,4
164,0.966,5.237,0,371.271,431.801,311.314,5
165,0.601,5.396,0,368.406,407.686,318.138,2
166,0.522,5.378,0,370.157,448.302,313.975,5
167,0.749,5.435,0,372.479,429.474,316.209,1
168,1.333,5.118,0,371.171,429.636,317.106,1
169,0.866,5.264,0,374.09,424.079,315.056,2
170,0.447,5.408,0,369.932,423.276,312.446,1
171,0.954,5.105,0,371.725,395.102,319.097,3
172,1.323,4.903,0,368.996,350.797,317.866,4
173,0.855,5.286,0,373.066,398.096,318.813,1
174,1.253,5.201,0,371.598,413.997,317.863,2
175,1.195,5.283,0,371.168,417.694,320.88,3
176,0.671,5.261,0,370.167,430.345,318.007,2
177,1.605,5.335,0,371.788,460.019,317.003,3
178,1.362,5.296,0,369.285,457.636,315.571,2
179,0.968,5.216,0,372.019,396.54,311.57,2
180,0.68,5.213,0,369.537,400.494,316.653,2
181,0.611,5.193,0,367.406,344.728,313.585,4
182,0.648,5.284,0,368.562,375.456,316.621,2
183,0.66,5.332,0,369.671,396.308,311.108,3
184,0.876,5.173,0,370.297,458.644,316.7,1
185,0.814,5.281,0,370.081,449.305,311.894,2
186,1.442,5.486,0,371.628,428.894,312.986,3
187,1.909,4.858,0,368.35,437.647,317.452,4
188,1.395,4.859,0,370.24,449.794,312.901,3
189,0.438,5.493,0,369.426,428.407,313.238,3
190,0.699,5.313,0,371.29,436.575,313.785,3
191,1.078,5.135,0,368.448,423.222,314.095,3
192,1.221,5.28,0,372.374,448.233,311.914,5
193,0.954,5.223,0,370.448,444.836,318.532,3
194,0.846,5.273,0,371.512,435.273,312.378,5
195,0.973,5.144,0,371.21,447.194,317.925,4
196,0.855,5.223,0,372.429,436.575,316.178,3
197,0.634,5.309,0,370.707,443.817,314.683,5
198,0.802,5.286,0,372.151,401.166,314.756,4
199,0.599,5.453,0,372.219,442.281,316.097,4
200,0.934,5.215,0,371.432,459.352,320.23,1
