Frame #,RMSD,rGyr,intraHB,MolSA,SASA,PSA,Contact_Frequency
0,0.0,4.795,0,356.879,329.709,158.964,4
1,1.376,4.775,0,355.825,467.514,161.008,5
1,2.065,4.821,0,362.673,473.389,161.058,5
2,2.002,4.741,0,357.43,470.814,163.05,4
2,1.106,4.713,0,356.734,477.935,160.178,4
3,2.043,4.557,0,352.947,331.067,162.51,4
3,2.07,4.541,0,356.965,343.975,163.31,4
4,2.012,4.559,0,354.452,344.397,169.286,4
4,1.654,4.673,0,357.622,401.888,161.431,4
5,1.694,4.794,0,358.725,350.347,164.573,6
5,1.519,4.661,0,360.072,387.734,163.21,6
6,1.484,4.731,0,355.929,387.08,157.651,5
6,2.122,4.631,0,356.353,451.47,162.342,5
7,2.054,4.729,0,359.051,479.909,164.055,4
7,2.064,4.693,0,357.074,459.424,167.243,4
8,2.081,4.76,0,358.296,350.583,159.399,7
8,2.14,4.549,0,355.544,400.455,160.558,7
9,2.311,4.555,0,355.716,321.926,154.281,8
9,1.926,4.674,0,355.824,389.081,158.37,8
10,1.359,4.606,0,356.556,388.351,158.016,7
10,1.607,4.539,0,352.889,336.847,161.902,7
11,1.776,4.423,0,352.694,329.72,168.598,6
11,1.715,4.618,0,357.715,305.481,159.078,6
12,2.128,4.256,0,352.811,295.372,164.185,6
12,2.186,4.309,0,352.823,293.92,162.717,6
13,2.06,4.705,0,356.725,300.452,157.416,9
13,2.128,4.568,0,356.198,306.67,164.231,9
14,2.065,4.673,0,358.96,328.385,164.233,11
14,1.477,4.569,0,354.46,283.619,164.205,11
15,1.93,4.591,0,356.982,286.348,162.849,9
15,1.465,4.664,0,356.546,288.753,161.435,9
16,1.736,4.596,0,356.83,276.724,155.192,12
16,2.129,4.752,0,359.387,306.204,153.152,12
17,2.048,4.591,0,355.101,249.133,155.708,10
17,1.615,4.845,0,361.637,319.117,160.608,10
18,2.091,4.65,0,355.293,303.472,159.985,11
18,2.211,4.688,0,356.355,295.36,154.441,11
19,2.006,4.657,0,357.513,307.698,154.193,7
19,1.645,4.679,0,356.44,307.473,162.36,7
20,2.104,4.579,0,357.901,294.766,165.831,8
20,2.136,4.726,0,358.81,253.69,159.953,8
21,1.39,4.85,0,361.562,272.314,161.335,17
21,1.483,4.702,0,358.65,261.26,153.13,17
22,2.045,4.783,0,358.45,298.923,163.886,10
22,2.061,4.749,0,359.238,276.951,158.809,10
23,1.488,4.671,0,357.88,289.308,160.19,11
23,2.098,4.736,0,358.697,297.412,157.21,11
24,2.002,4.634,0,354.211,290.287,161.819,12
24,1.435,4.774,0,356.79,321.814,162.756,12
25,2.068,4.724,0,357.913,302.72,156.937,15
25,2.021,4.765,0,357.262,269.354,162.239,15
26,1.805,4.722,0,361.714,274.626,162.679,9
26,2.124,4.832,0,361.184,308.278,165.188,9
27,2.111,4.801,0,359.702,275.158,164.41,9
27,1.435,4.665,0,354.74,266.522,154.689,9
28,1.678,4.7,0,358.829,299.441,154.6,9
28,1.51,4.77,0,359.797,308.893,151.87,9
